# 규제지역 매칭용 시군구 법정동코드 (설계 I78)
#
# 고시의 축약 지역명(화성동탄)을 코드로 바꾸려면 정식 시군구명이 필요한데,
# legal_dong_code 테이블은 카카오로 채우는 지연 캐시라 기동 시 비어 있다.
# 그래서 최소 사전을 함께 싣는다.
#
# 서울 전 자치구와 경기 시군구를 담는다 — 2026-07-01 현행 고시의 40곳이 모두 여기 있다.
# 다른 시도가 규제지역으로 지정되면 매칭이 실패하고 그 이름이 로그에 남는다.
# 조용히 넘어가지 않으므로, 그때 이 파일에 줄을 더하면 된다.
#
# 형식: 시군구코드(5),시도,시군구
11110,서울특별시,종로구
11140,서울특별시,중구
11170,서울특별시,용산구
11200,서울특별시,성동구
11215,서울특별시,광진구
11230,서울특별시,동대문구
11260,서울특별시,중랑구
11290,서울특별시,성북구
11305,서울특별시,강북구
11320,서울특별시,도봉구
11350,서울특별시,노원구
11380,서울특별시,은평구
11410,서울특별시,서대문구
11440,서울특별시,마포구
11470,서울특별시,양천구
11500,서울특별시,강서구
11530,서울특별시,구로구
11545,서울특별시,금천구
11560,서울특별시,영등포구
11590,서울특별시,동작구
11620,서울특별시,관악구
11650,서울특별시,서초구
11680,서울특별시,강남구
11710,서울특별시,송파구
11740,서울특별시,강동구
41111,경기도,수원시 장안구
41113,경기도,수원시 권선구
41115,경기도,수원시 팔달구
41117,경기도,수원시 영통구
41131,경기도,성남시 수정구
41133,경기도,성남시 중원구
41135,경기도,성남시 분당구
41150,경기도,의정부시
41171,경기도,안양시 만안구
41173,경기도,안양시 동안구
41190,경기도,부천시
41210,경기도,광명시
41220,경기도,평택시
41250,경기도,동두천시
41271,경기도,안산시 상록구
41273,경기도,안산시 단원구
41281,경기도,고양시 덕양구
41285,경기도,고양시 일산동구
41287,경기도,고양시 일산서구
41290,경기도,과천시
41310,경기도,구리시
41360,경기도,남양주시
41370,경기도,오산시
41390,경기도,시흥시
41410,경기도,군포시
41430,경기도,의왕시
41450,경기도,하남시
41461,경기도,용인시 처인구
41463,경기도,용인시 기흥구
41465,경기도,용인시 수지구
41480,경기도,파주시
41500,경기도,이천시
41550,경기도,안성시
41570,경기도,김포시
41590,경기도,화성시
41597,경기도,화성시 동탄구
41610,경기도,광주시
41630,경기도,양주시
41650,경기도,포천시
41670,경기도,여주시
41800,경기도,연천군
41820,경기도,가평군
41830,경기도,양평군
